j***q,白色美白面膜,,4,9,使用非常好用，一股淡淡的蜂蜜香味。面膜的效果也非常好，相对比较好吸收，面膜超服帖，补水效果非常好，很湿润的。用了以后皮肤水水嫩嫩的，摸起来也很光滑没有油腻的感觉。特别舒服。晚上敷一片，第二天上妆效果特别好.,2020-03-19 11:03:24
s***0,黄色经典面膜,,0,4,春雨面膜效果不错，补水效果好，面膜大，现天天待在空调房，缺水很严重，特别是晚上冲完凉出来脸干，脸痒，很不舒服，赶紧敷一片面膜，补充一点水份，敷完之后，舒服多了，脸也不痒了。重点是，搞特价时，还是挺划算的。,2020-07-04 15:27:30
j***间,黄色经典面膜,,0,3,"产品质感：过年回老家，家里没有面膜才买的，被种草很久了，正好京东也有活动，于是就买来试试，产品外包装还是很好看的，是我喜欢的淡黄色，面膜摸着也很舒服
使用感受：面膜拿出来有种蜂蜜的味道，甜甜的，好像吃的感觉，我很喜欢
补水效果：补水很好，超补水的
贴合效果：很贴合面部！经常使用效果更佳！",2020-03-04 10:16:47
j***i,黄色经典面膜,,1,17,买了两盒很优惠。说一下使用感觉，这款面膜精华很多，敷完脸还可以再敷下脖子！面膜吸水效果很棒，敷上不会到处滴水，面膜贴上是透明的！吸收效果也很棒，做完整个脸都感觉是水润润的，竟然还有提亮肤色的效果，做完感觉脸上有亮光了，还白了点！,2019-11-30 09:20:40
晓***花,粉色焕亮嫩肤面膜,,0,0,产品经人介绍说用的好，推荐给我的，用了一下，还真是不错！脸感觉很滋润，补水效果明显，还稍微有点去皱的效果，很喜欢。日期新鲜，用完了还会再买，我的皮肤很干，用完很舒服，爱美的靓妹放心购买！包你满意！总之就是满意！喜欢！,2020-05-16 16:24:59
W***x,黑色清洁面膜,,2,7,这一款是一款温和的清洁面膜，用完之后没有负担，因为我是敏感肌肤，对待这样的肌肤也是有好的，也能有效的清洁皮肤。这也是适合所有肤质的，可以放心使用。虽然是清洁面膜，但也是有补水效果的，用完之后肌肤状态也是很好的。膜布也很贴合肌肤，很喜欢。,2019-12-12 19:05:08
T***9,黄色经典面膜,,1,1,嗯嗯，常年必备的一款单品，有时候没有活动，88一盒，现在京东搞活动，40多一点一盒，真的超级划算，我觉得，买东西一定要看看活动，哈哈哈哈哈，不着急的情况哈，依据个人隐私，毕竟这个东西，嘻嘻嘻嘻。效果还是不错的，补水嘛，每天来一片。,2020-11-13 19:28:25
奥***豆,新品 绿色牛油果排浊面膜,,0,2,快递包装得挺好的，没有损坏，物流很快，第二天就到了，简直不能太棒，收到晚上就用了一片，打开面膜就可以闻到一股香香的味道，买了一个绿色和一个黄色的，两个味道都好闻，面膜纸薄薄的很服帖，而且精华很足，用了之后皮肤很光滑，棒,2020-04-25 16:47:47
j***f,黄色经典面膜,,0,0,很喜欢的一款面膜，面膜纸很薄，也很服帖。本人脸属于过敏性皮肤，这款面膜可以帮助修复红血丝，用完面膜，脸水嫩嫩的，很清爽，蜂蜜味很好闻。,2021-02-06 00:58:58
l***5,黄色经典面膜,,0,0,第一次买这个面膜，朋友推荐，知名度也高，趁着双十一有活动，买来试试，刚用过黄色蜂蜜的，绿色牛油果的还没有用，面膜很薄，很服帖，精华水很多，淡淡的清香，很好用，赠品还没有用，希望好用，下次有活动会继续购买的！,2020-11-26 10:31:14
奥***豆,黄色经典面膜,,0,1,快递包装得挺好的，没有损坏，物流很快，就二天就到了，简直不能太棒，收到晚上就用了一片，打开面膜就可以闻到一股香香的味道，买了一个绿色和一个黄色的，两个味道都好闻，面膜纸薄薄的很服帖，而且精华很足，用了之后皮肤很光滑，赞,2020-04-25 16:52:36
c***n,黄色经典面膜,,1,1,春雨面膜，这次趁活动买了很多很多，和同事们一起拼，赠送了绿色牛油果款，没有黄色的好用，面膜纸有点厚，还是最喜欢黄色经典款，换新了包装，还是熟悉的味道，薄薄的面膜纸，很补水的感觉，用起来很安心，包装也很有质感！主要活动价格很合适，下次遇到活动还会再入手的，冬天多敷面膜。,2019-12-22 17:38:52
j***k,黄色经典面膜,,0,0,朋友用完说好用，一口气囤了十盒，瞬间被分完了，京东商城很给力，PLUS会员专属客服超级给力，买完第二天降价，申请保价，秒退款，再说说面膜吧，面膜纸很轻薄，有股香甜的味道，可能是蜂蜜的缘故吧，应该是正品，用完没有不是感，面膜我隔天用一次，没化妆，消耗品，会关注回购的，京东购物真的给力，赞一个！,2020-11-16 22:57:43
骊***事,黄色经典面膜,,0,3,"产品质感：很舒服，很丝滑
使用感受：用过之后很舒服，皮肤光光滑滑的，很好
适合肤质：基本上都能使用，很不错
补水效果：很不粗，用过后皮肤水嫩嫩的
贴合效果：大小合适，很不错叠合度很高
其他特色：价位合适，比实体店还便宜。值得拥有",2019-10-14 19:37:20
O***O,黄色经典面膜,,2,4,"看到评论中的差评，反复犹豫很多次，赶上半价活动，价格超划算，最终决定试一试。
面膜盒子包装很干净，材质很好，每张面膜都有中文贴示和防伪标识。
面膜有闻起来有蜂蜜的香甜味，精华都集中在面膜上，取出面膜后，袋子里基本没有多余的精华。敷二十分钟，不会干，精华量正好够用。
面膜纸很通透，相对比较柔软，很服帖。开孔正常，适合我的脸，贴到脸上再稍微调整一下位置。因为面膜纸薄，贴完以后再拍照，孔有点扯大了。
本人混合油皮，用完感觉不错，不油腻，很清爽。",2019-07-12 10:53:52
j***m,黄色经典面膜,,1,2,"非常好用，超级适合敏感肌肤，我是敏感肌肤，用着很舒服，保湿效果很好，满意的一次购物，下次还回来，找到适合自己的的面膜，真的是很开心，是正品，扫过码了，
给自己买的，用起来真的非常好，用完脸上很滋润，主要满减活动比较给力，基本没花多少钱，物流很快",2019-12-29 13:59:41
W***x,黄色经典面膜,,0,2,一直无限回购的一款面膜，非常好用，补水效果很好，新包装也很喜欢。使用上没有任何负担，因为我是敏感肌，也一直在用，里面的膜布也很贴合肌肤，任何肌肤都是适合的，补水，和使用后的感受，都是很好的，还送了一片新品的面膜，看用用怎么样！,2019-12-12 18:56:56
-***页,黄色经典面膜,,1,1,春雨的面膜用了很多年了。非常的好用。味道也是非常的好闻。比较温和。一点也不回刺激。我说敏感肌。用了皮肤也不会过敏刺痛。有一股淡淡的蜂蜜清香的味道。一指比较喜欢。用完第二天皮肤水嫩嫩的。值得推荐。而且京东的活动力度力较大。,2020-05-02 18:21:51
那***风,黄色经典面膜,,0,1,"产品质感：很舒服，贴上去湿湿的，滑滑的，丝丝爽爽，感觉很带劲吖
使用感受：用起来很好的面膜，用起来方便，抹上很舒服
适合肤质：适合任何皮肤，只要往上贴就行，绝对没问题我觉得，可以推荐
补水效果：补水效果很好，持续时间很久，舒服得很
贴合效果：完美贴合，不多说
其他特色：好，推荐",2020-02-19 19:35:23
j***v,黑色清洁面膜,,0,2,物流很快，下单后第二天就收到货啦，我一直在用春雨面膜，本人感觉用后皮肤很舒服，保湿效果好，我是敏感肤质但用这款面膜没有过敏反应，最喜黑色的这款，黄色经典款也在用。,2020-09-21 12:03:03
0***米,白色美白保湿面膜,,0,0,很好用，一直在用，很喜欢这个面膜，保湿效果很好，在直播间买的，还有赠品，里面的保湿精华很多，用不完可以敷在手上脖子上，是正品，用完还会回购的。,2020-12-07 09:18:57
就***o,牛油果排浊面膜,,0,0,"产品质感：点绿色， 比较柔软，精华比较多，反正吸收不完
使用感受：很好，皮肤没有任何不适，跟黑色那款换着用，一款清洁补水，一款改善皮肤
适合肤质：这款应该所有肤质都比较适合
补水效果：款我是用来改善皮肤暗黄的，还在使用中，补水效果也是很好的
贴合效果：因为这款比较柔软，贴合效果很好",2020-06-21 11:03:51
-***页,新品 绿色牛油果排浊面膜,,0,1,一直用的春雨的面膜。股淡淡的蜂蜜味道。补水效果特别特别的好。而且一点都不刺激。特别的滋润。晚上用了第二天皮肤滑滑的感觉。一点都不刺激。minggan敏感肌肤也可以用喔。价格也比较实惠。比外面便宜很多哦。大爱,2020-04-15 14:21:23
l***5,牛油果紧致焕亮面膜,,0,0,第一次@雨的面膜，这次双十一有活动，就多买了几盒，包装精美，还有赠品，我是特意用过了才过来评价，蜂蜜的很好用，淡淡的清香，很薄很服帖，牛油果的没有蜂蜜的好用，精华水不是太多，下次就买蜂蜜的了，赠品还没用，希望好用吧！,2020-12-07 11:18:26
